,genus,species,family,order,class,phylum,domain,NCBI tax ID,motility,gram stain,growth,GC-content,oxygen tolerance,Total samples,soil counts,aquatic counts,plant counts,PH range,optimum,antibiotics,lincomycin,novobiocin,kanamycin,ampicillin,gentamicin,neomycin,streptomycin,chloramphenicol,rifampicin,polymyxin b,erythromycin,bacitracin,penicillin,tetracycline,aztreonam,cefalotin,cefazolin,cefotaxime,fosfomycin,imipenem,linezolid,mezlocillin,moxifloxacin,nitrofurantoin,norfloxacin,nystatin,ofloxacin,oxacillin,penicillin g,pipemidic acid,ticarcillin
0,Thermocrinis,Thermocrinis ruber,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,75906.0,,,,,,133.0,4.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Thermocrinis,Thermocrinis albus,Aquificaceae,Aquificales,Aquificae,Aquificota,Bacteria,,,,,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Thermosulfidibacter,Thermosulfidibacter takaii,"Aquificales, not assigned to family",Aquificales,Aquificae,Aquificota,Bacteria,1298851.0,yes,negative,70.0,44.2,anaerobe,96.0,8.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Persephonella,Persephonella atlantica,Hydrogenothermaceae,Aquificales,Aquificae,Aquificota,Bacteria,2699429.0,,,,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Persephonella,Persephonella hydrogeniphila,Hydrogenothermaceae,Aquificales,Aquificae,Aquificota,Bacteria,198703.0,,,70.0,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Persephonella,Persephonella marina,Hydrogenothermaceae,Aquificales,Aquificae,Aquificota,Bacteria,,yes,negative,69.5,52,,60.0,5.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sulfurihydrogenibium,Sulfurihydrogenibium yellowstonense,Hydrogenothermaceae,Aquificales,Aquificae,Aquificota,Bacteria,432331.0,,,,32,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sulfurihydrogenibium,Sulfurihydrogenibium kristjanssonii,Hydrogenothermaceae,Aquificales,Aquificae,Aquificota,Bacteria,,yes,negative,68.0,28.1,aerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sulfurihydrogenibium,Sulfurihydrogenibium rodmanii,Hydrogenothermaceae,Aquificales,Aquificae,Aquificota,Bacteria,,yes,negative,71.5,35.0,microaerophile,77.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sulfurihydrogenibium,Sulfurihydrogenibium azorense,Hydrogenothermaceae,Aquificales,Aquificae,Aquificota,Bacteria,204536.0,yes,negative,68.0,33.6,,89.0,1.0,76.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sulfurihydrogenibium,Sulfurihydrogenibium subterraneum,Hydrogenothermaceae,Aquificales,Aquificae,Aquificota,Bacteria,1123325.0,,,62.0,,,86.0,1.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Desulfurobacterium,Desulfurobacterium crinifex,Desulfurobacteriaceae,Desulfurobacteriales,Aquificae,Aquificota,Bacteria,,,,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Desulfurobacterium,Desulfurobacterium thermolithotrophum,Desulfurobacteriaceae,Desulfurobacteriales,Aquificae,Aquificota,Bacteria,64160.0,,,,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Desulfurobacterium,Desulfurobacterium indicum,Desulfurobacteriaceae,Desulfurobacteriales,Aquificae,Aquificota,Bacteria,1914305.0,yes,negative,,38.2,anaerobe,79.0,2.0,34.0,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Desulfurobacterium,Desulfurobacterium pacificum,Desulfurobacteriaceae,Desulfurobacteriales,Aquificae,Aquificota,Bacteria,240166.0,,,75.0,42,anaerobe,29.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Desulfurobacterium,Desulfurobacterium atlanticum,Desulfurobacteriaceae,Desulfurobacteriales,Aquificae,Aquificota,Bacteria,240169.0,,,,41,anaerobe,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Desulfurobacterium,Desulfurobacterium crinifex,Desulfurobacteriaceae,Desulfurobacteriales,Aquificae,Aquificota,Bacteria,,,,,36.7±08,anaerobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Desulfurobacterium,Desulfurobacterium thermolithotrophum,Desulfurobacteriaceae,Desulfurobacteriales,Aquificae,Aquificota,Bacteria,868864.0,,,,35,anaerobe,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
