,genus,species,NCBI tax ID,motility,gram stain,range,optimum,GC-content,oxygen tolerance,Total samples,soil counts,aquatic counts,plant counts,metabolite,is antibiotic,is resistant
0,Granulicella,Granulicella tundricola,"[1198114, 1198114, 1198114, 1198114, 1198114, 1198114, 1198114, 2026760, 2030927, 1871037, 1913989, 2030806]","['no', 'no']","['negative', 'negative']",4-28,21-24,"['59.9', '59.9']","['aerobe', 'aerobe']",5501.0,3260.0,683.0,1067.0,"['kanamycin', 'lincomycin', 'novobiocin', 'rifampicin', 'polymyxin b', 'chloramphenicol', 'erythromycin', 'ampicillin', 'bacitracin', 'erythromycin', 'gentamicin', 'neomycin', 'penicillin', 'streptomycin', 'tetracycline', 'tetracycline']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
0,Granulicella,Granulicella sapmiensis,,no,negative,4-26,22.5,"['56.0', '56']",aerobe,22.0,13.0,3.0,3.0,,,
0,Granulicella,Granulicella mallensis,"[682795, 682795, 682795, 2498093]","['no', 'no']","['negative', 'negative']",4-28,24-27,"['57.8', '57.8']","['aerobe', 'aerobe']",263.0,145.0,49.0,12.0,"['kanamycin', 'lincomycin', 'ampicillin', 'bacitracin', 'novobiocin', 'tetracycline', 'polymyxin b', 'chloramphenicol', 'erythromycin', 'gentamicin', 'neomycin', 'penicillin', 'rifampicin', 'streptomycin']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
0,Granulicella,Granulicella arctica,940613,no,negative,4-28,22.5,"['57.5', '57.5']",aerobe,10.0,10.0,,,,,
0,Granulicella,Granulicella paludicola,474951,no,negative,2.0-33.0,18.0-22.0,57.4,obligate aerobe,,,,,"['ampicillin', 'chloramphenicol', 'gentamicin', 'kanamycin', 'neomycin', 'streptomycin', 'lincomycin', 'novobiocin']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
0,Granulicella,Granulicella aggregans,474949,no,negative,2.0-33.0,18.0-22.0,59.3,obligate aerobe,,,,,"['ampicillin', 'chloramphenicol', 'gentamicin', 'kanamycin', 'lincomycin', 'neomycin', 'streptomycin', 'novobiocin']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
0,Granulicella,Granulicella pectinivorans,"[474950, 474950, 474950, 1871071]",no,negative,2.0-33.0,18.0-22.0,59.1,obligate aerobe,22.0,13.0,3.0,3.0,"['ampicillin', 'chloramphenicol', 'gentamicin', 'neomycin', 'streptomycin', 'kanamycin', 'lincomycin', 'novobiocin']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['yes', 'yes', 'yes', 'yes', 'yes']"
0,Granulicella,Granulicella rosea,"[474952, 474952, 474952, 2049044]",no,negative,2.0-33.0,18.0-22.0,58.3,obligate aerobe,,,,,"['chloramphenicol', 'gentamicin', 'lincomycin', 'neomycin', 'novobiocin', 'streptomycin', 'lincomycin', 'ampicillin', 'kanamycin']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
0,Occallatibacter,Occallatibacter savannae,,yes,negative,28,29-40,58.5,obligate aerobe,32.0,21.0,,11.0,,,
0,Occallatibacter,Occallatibacter riparius,,,,,,59.9,,,,,,,,
0,Occallatibacter,Occallatibacter riparius,"[1002689, 1879010, 1977087]",yes,negative,28,26-37,59.6,obligate aerobe,,,,,,,
0,Terriglobus,Terriglobus sp.,"[278961, 278961]",,,,,,,972.0,518.0,63.0,191.0,,,
0,Terriglobus,Terriglobus albidus,1592106,,,,,58.5,,984.0,741.0,51.0,142.0,,,
0,Terriglobus,Terriglobus aquaticus,940139,['no'],"['negative', 'negative']",25,25,63.2,"['aerobe', 'aerobe']",,,,,,,
0,Terriglobus,Terriglobus tenax,,,,,,62.1,,912.0,436.0,71.0,315.0,,,
0,Terriglobus,Terriglobus sp.,,,,,,,,972.0,518.0,63.0,191.0,,,
0,Terriglobus,Terriglobus saanensis,"[401053, 401053, 401053]",no,negative,4.0,25.0,57.3,aerobe,857.0,550.0,94.0,89.0,,,
0,Terriglobus,Terriglobus roseus,"[926566, 926566, 926566]",no,,12-23,,59.8,,579.0,250.0,44.0,38.0,,,
0,Paludibaculum,Paludibaculum fermentans,1473598,,,,,60.5,microaerophile,335.0,159.0,136.0,15.0,,,
0,Chloracidobacterium,Chloracidobacterium thermophilum,"[981222, 981222]",,,,,61.3,,62.0,4.0,56.0,,,,
0,Thermotomaculum,Thermotomaculum hydrothermale,981385,,,55,,51.6,anaerobe,43.0,2.0,41.0,,,,
0,Luteitalea,Luteitalea pratensis,"[1855912, 1855912, 1855912, 573]",no,negative,28,20-30,"['64.7', '64.7']","['aerobe', 'aerobe']",543.0,353.0,44.0,56.0,"['ampicillin', 'aztreonam', 'cefalotin', 'cefazolin', 'cefotaxime', 'chloramphenicol', 'erythromycin', 'fosfomycin', 'imipenem', 'linezolid', 'mezlocillin', 'moxifloxacin', 'neomycin', 'nitrofurantoin', 'norfloxacin', 'nystatin', 'ofloxacin', 'oxacillin', 'penicillin g', 'pipemidic acid', 'ticarcillin']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
0,Aquifex,Aquifex sp.,,,,,,,,,,,,,,
0,Aquifex,Aquifex pyrophilus,,,,85,,"['39', '41.5']",,270.0,,270.0,,,,
0,Hydrogenobacter,Hydrogenobacter halophilus,,,,,,46,,,,,,,,
0,Hydrogenobacter,Hydrogenobacter sp.,,,,,,,,7.0,,7.0,,,,
0,Hydrogenobacter,Hydrogenobacter subterraneus,,,,,,44.7,,203.0,2.0,181.0,5.0,,,
0,Hydrogenobacter,Hydrogenobacter thermophilus,"[608538, 608538, 608538, 608538, 608538, 1869227]",no,negative,70,70-75,43.7,aerobe,,,,,,,
0,Hydrogenobacter,Hydrogenobacter hydrogenophilus,"[35835, 35835, 35835, 1913989]",,,75,,"['41.0', '39-41']",,26.0,1.0,24.0,,,,
0,Hydrogenobaculum,Hydrogenobaculum acidophilum,,,,65,,"['35', '35']",,,,,,,,
0,Thermocrinis,Thermocrinis jamiesonii,1313265,,,80,,"['41.3', '41.3']",,,,,,,,
0,Thermocrinis,Thermocrinis minervae,"[381751, 381751, 381751]",yes,negative,65-85,75,"['40.3', '40.3']",microaerophile,58.0,3.0,47.0,,,,
0,Thermocrinis,Thermocrinis albus,"[638303, 638303, 638303, 638303]",,,80,,49.6,microaerophile,,,,,,,
0,Thermocrinis,Thermocrinis ruber,"[75906, 75906, 75906]",,,,,,,133.0,4.0,127.0,,,,
0,Thermocrinis,Thermocrinis albus,,,,,,47.5,,,,,,,,
0,Thermosulfidibacter,Thermosulfidibacter takaii,"[1298851, 1298851, 1298851]",yes,negative,70,70,"['44.2', '44.2']","['anaerobe', 'anaerobe']",96.0,8.0,84.0,,,,
0,Persephonella,Persephonella atlantica,2699429,,,,,37.1,,,,,,,,
0,Persephonella,Persephonella hydrogeniphila,"[198703, 198703, 198703, 470]",,,70,,37.3,,,,,,,,
0,Persephonella,Persephonella marina,,yes,negative,70,73,52,,60.0,5.0,17.0,,,,
0,Sulfurihydrogenibium,Sulfurihydrogenibium yellowstonense,432331,,,,,32,,11.0,,11.0,,,,
0,Sulfurihydrogenibium,Sulfurihydrogenibium kristjanssonii,,yes,negative,40-73,68,28.1,"['microaerophile', 'aerobe']",,,,,,,
0,Sulfurihydrogenibium,Sulfurihydrogenibium rodmanii,,yes,negative,55-80,75,"['35.0', '35']","['microaerophile', 'microaerophile']",77.0,,75.0,,,,
0,Sulfurihydrogenibium,Sulfurihydrogenibium azorense,"[204536, 204536, 204536]",yes,negative,50-73,68,33.6,,89.0,1.0,76.0,3.0,,,
0,Sulfurihydrogenibium,Sulfurihydrogenibium subterraneum,"[1123325, 1123325, 1123325]",,,62,,,,86.0,1.0,83.0,,,,
0,Desulfurobacterium,Desulfurobacterium crinifex,,,,,,36.7,,,,,,,,
0,Desulfurobacterium,Desulfurobacterium thermolithotrophum,"[64160, 64160]",,,,,34.7,,,,,,,,
0,Desulfurobacterium,Desulfurobacterium indicum,"[1914305, 1914305]",yes,negative,65,65,"['38.2', '38.2']",anaerobe,79.0,2.0,34.0,,,,
0,Desulfurobacterium,Desulfurobacterium pacificum,240166,,,75,,42,anaerobe,29.0,,28.0,,,,
0,Desulfurobacterium,Desulfurobacterium atlanticum,"[240169, 240169, 240169, 1869212]",,,,,41,anaerobe,9.0,,9.0,,,,
0,Desulfurobacterium,Desulfurobacterium crinifex,,,,,,36.7±08,anaerobe,,,,,,,
0,Desulfurobacterium,Desulfurobacterium thermolithotrophum,"[868864, 868864, 868864, 2044936]",,,,,35,anaerobe,1.0,,1.0,,,,
0,Thermovibrio,Thermovibrio guaymasensis,"[240167, 240167, 240167]",,,75,,46,anaerobe,10.0,,10.0,,,,
0,Thermovibrio,Thermovibrio ammonificans,"[648996, 648996, 648996, 648996, 648996]",yes,negative,75,75,"['54.6', '54.6']","['anaerobe', 'anaerobe']",,,,,,,
0,Thermovibrio,Thermovibrio ruber,,,,75,,"['45', '47']",anaerobe,,,,,,,
0,Atribacter,Atribacter laminatus,2847778,,,,,38.7,,,,,,,,
0,Caldisericum,Caldisericum exile,"[511051, 511051, 511051, 1903473]",yes,negative,55-70,65,"['34.6', '34.6']","['anaerobe', 'anaerobe']",457.0,11.0,367.0,5.0,,,
0,Caldithrix,Caldithrix palaeochoryensis,,yes,,40-65,60,"['43.3', '43.3']","['anaerobe', 'anaerobe']",,,,,,,
0,Caldithrix,Caldithrix abyssi,"[880073, 880073, 880073, 880073, 880073, 880073, 880073, 880073, 1662275, 169971]",,,,,42.5,anaerobe,734.0,55.0,665.0,4.0,,,
0,Desulfurispirillum,Desulfurispirillum indicum,"[653733, 653733, 653733, 2024896]",yes,negative,28,28.0,56.0,"['anaerobe', 'obligate anaerobe']",4576.0,166.0,445.0,47.0,,,
0,Desulfurispirillum,Desulfurispirillum alkaliphilum,,,,30,,44.8,anaerobe,4576.0,166.0,445.0,47.0,,,
0,Calditerrivibrio,Calditerrivibrio nitroreducens,"[768670, 768670, 768670, 768670, 2769307, 1909296]",yes,negative,30-65,55,"['35.6', '35.1']","['anaerobe', 'anaerobe']",242.0,8.0,198.0,1.0,,,
0,Deferribacter,Deferribacter autotrophicus,500465,yes,negative,25-75,60,"['28.7', '28.7', '32.6']","['anaerobe', 'anaerobe']",,,,,,,
0,Deferribacter,Deferribacter abyssi,,,,60,,30.8,anaerobe,1.0,,1.0,,,,
0,Deferribacter,Deferribacter abyssi,,,,,,,anaerobe,1.0,,1.0,,,,
0,Deferribacter,Deferribacter thermophilus,,,,,,34,anaerobe,,,,,,,
0,Deferribacter,Deferribacter desulfuricans,"[639282, 639282, 639282, 639282, 639282, 1915438, 211455]",no,negative,62,60.0-65.0,38.6,"['anaerobe', 'obligate anaerobe']",539.0,134.0,280.0,2.0,,,
0,Flexistipes,Flexistipes sinusarabici,"[717231, 717231, 717231, 205]",,,,,39.0,anaerobe,,,,,,,
0,Denitrovibrio,Denitrovibrio acetiphilus,"[522772, 522772, 522772, 797541]",,,,,42.6,anaerobe,762.0,36.0,557.0,41.0,,,
0,Geovibrio,Geovibrio ferrireducens,,,,,,,,,,,,,,
0,Geovibrio,Geovibrio thiophilus,"[139438, 139438, 139438, 644340]",,,,,"['50.2', '48.2']",anaerobe,22.0,6.0,14.0,,,,
0,Mucispirillum,Mucispirillum schaedleri,,,,,,,,,,,,,,
0,Mucispirillum,Mucispirillum schaedleri,,yes,negative,,,,anaerobe,100650.0,3103.0,2961.0,684.0,,,
0,Dictyoglomus,Dictyoglomus sp.,,,,,,,,48.0,1.0,46.0,,,,
0,Dictyoglomus,Dictyoglomus turgidum,"[515635, 515635, 515635, 2590157]",,negative,80,72,"['32.5', '33.96']","['anaerobe', 'obligate anaerobe']",48.0,1.0,46.0,,,,
0,Dictyoglomus,Dictyoglomus thermophilum,"[309799, 309799, 309799, 323]",no,negative,70,73-78,"['29.0', '33']","['anaerobe', 'anaerobe']",270.0,16.0,226.0,,"['neomycin', 'streptomycin', 'tetracycline', 'tunicamycin', 'actinomycin d', 'chloramphenicol', 'sodium dodecyl sulfate', 'vancomycin', 'sodium chloride']","['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",
0,Elusimicrobium,Elusimicrobium minutum,445932,,,,,,,1748.0,79.0,214.0,15.0,,,
0,Endomicrobium,Endomicrobium proavitum,"[1408281, 1408281, 1408281, 1408281, 1978230]",,,30,,39.3,,,,,,,,
0,Salinibacter,Salinibacter altiplanensis,1803181,,,,,,,1.0,,1.0,,,,
0,Salinibacter,Salinibacter sp.,,,,,,62.7,,549.0,23.0,176.0,2.0,,,
0,Salinibacter,Salinibacter ruber,"[309807, 309807, 309807, 309807, 562, 573]",,,37,,70,,549.0,23.0,176.0,2.0,,,
0,Rhodothermus,Rhodothermus bifroesti,2823335,,,,,,,,,,,,,
0,Rhodothermus,Rhodothermus marinus,29549,,,,,,,,,,,,,
0,Rhodothermus,Rhodothermus marinus,29549,,,,,,,,,,,,,
0,Rhodothermus,Rhodothermus marinus,,,,,,,,,,,,,,
0,Rhodothermus,Rhodothermus sp.,,,,,,,,,,,,,,
0,Rhodothermus,Rhodothermus sp.,,,,70,,66,,601.0,193.0,243.0,31.0,,,
0,Rhodothermus,Rhodothermus profundi,"[633813, 633813, 633813, 573]",no,negative,70,70,"['60.9', '60.9', '60.7']",aerobe,24.0,4.0,12.0,2.0,,,
0,Rhodothermus,Rhodothermus marinus,"[1295135, 1295135, 1295135, 562]",,,70,,66.6,,601.0,193.0,243.0,31.0,,,
0,Rhodothermus,Rhodothermus marinus,,,,,,65.0,,601.0,193.0,243.0,31.0,,,
0,Rhodothermus,Rhodothermus marinus,"[518766, 518766, 518766, 518766, 340190, 1280]",,,,,65.0,,601.0,193.0,243.0,31.0,,,
0,Bacteroides,Bacteroides sp.,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides cellulosilyticus,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides pyogenes,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides cellulosilyticus,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides pyogenes,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides ovatus,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides pyogenes,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides cellulosilyticus,,,,,,,microaerophile,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides finegoldii,,,,,,43,,85113.0,332.0,1743.0,139.0,,,
0,Bacteroides,Bacteroides sp.,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,microaerophile,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides xylanisolvens,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides stercoris,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides ovatus,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides ovatus,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides ovatus,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides ovatus,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides ovatus,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides ovatus,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides thetaiotaomicron,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides sp.,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides zoogleoformans,"[28119, 28119, 28119, 28119, 28119, 28119, 1872109]",,,37,,47,anaerobe,,,,,,,
0,Bacteroides,Bacteroides caccae,,,,,,,anaerobe,,,,,,,
0,Bacteroides,Bacteroides caccae,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides gallinaceus,,no,negative,,,45.3,obligate anaerobe,9748.0,638.0,876.0,95.0,,,
0,Bacteroides,Bacteroides caecicola,,no,negative,20-45,30-37,45.6,obligate anaerobe,8147.0,522.0,605.0,171.0,,,
0,Bacteroides,Bacteroides reticulotermitis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides nordii,"[1203608, 1203608, 291645, 1203608, 2819348, 2942470, 2974994, 2927993, 2977098, 417999]",,,37,,"['41.4', '41.4']",anaerobe,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides ovatus,,,,,,,,,,,,,,
0,Bacteroides,Bacteroides fragilis,"[1235816, 1235816, 1235816, 1191687]",,,37,,,,221995.0,2825.0,7159.0,810.0,,,
0,Bacteroides,Bacteroides reticulotermitis,"[1133319, 1445607, 1133319, 1133319, 1445607, 1445607, 2576889, 904064]",no,negative,37,37,"['44.9', '44.9']",anaerobe,16994.0,518.0,1807.0,207.0,,,
0,Bacteroides,Bacteroides cellulolyticus,2981780,,,,,,,,,,,,,
0,Bacteroides,Bacteroides caecimuris,"[1796613, 1796613, 1796613, 1796613, 1796613, 1796613, 2448050]",,['negative'],37,,"['42.6', '42.6']","['anaerobe', 'anaerobe']",45193.0,555.0,825.0,273.0,,,
0,Bacteroides,Bacteroides stercorirosoris,"[1236514, 871324, 1236514, 871324, 1236514, 871324, 1993870, 2039243]",no,negative,37,37,"['45.7', '45.7']","['anaerobe', 'anaerobe', 'anaerobe']",20805.0,101.0,254.0,66.0,,,
0,Bacteroides,Bacteroides xylanisolvens,,,,,,,anaerobe,219481.0,1755.0,4947.0,555.0,,,
0,Bacteroides,Bacteroides acidifaciens,"[85831, 395631]",,,,,,anaerobe,171816.0,1207.0,1548.0,483.0,,,
0,Bacteroides,Bacteroides neonati,,,,,,43.53,anaerobe,31698.0,398.0,1979.0,171.0,,,
0,Bacteroides,Bacteroides luti,"[1297750, 1297750, 1297750, 2982024]",,,37,,44.4,anaerobe,8287.0,164.0,1429.0,54.0,,,
0,Bacteroides,Bacteroides faecichinchillae,"[1236513, 871325, 871325, 1236513, 1236513, 871325, 2699743, 2282149]",no,negative,37,37,"['41.0', '41', '41']","['anaerobe', 'anaerobe', 'anaerobe']",3240.0,10.0,13.0,,,,
0,Bacteroides,Bacteroides rodentium,"[1236512, 1236512, 1236512, 208548]",,,37,,"['41.0', '41']","['anaerobe', 'anaerobe']",,,,,,,
0,Bacteroides,Bacteroides heparinolyticus,"[28113, 28113, 28113, 2860329]",,,37,,47,"['anaerobe', 'anaerobe']",13007.0,385.0,109.0,73.0,,,
0,Bacteroides,Bacteroides faecis,"[1077285, 1077285, 1077285, 1077285, 1077285, 1077285, 2268203, 2268205]","['no', 'no']","['negative', 'negative']",37,37,"['42.7', '41.7-43.7']","['anaerobe', 'anaerobe', 'anaerobe', 'anaerobe']",7978.0,20.0,257.0,2.0,,,
0,Bacteroides,Bacteroides oleiciplenus,"[742727, 742727, 742727, 575416]",no,negative,37,37,"['43.6', '43.6']","['anaerobe', 'anaerobe', 'anaerobe']",56164.0,312.0,659.0,284.0,,,
0,Bacteroides,Bacteroides fluxus,"[763034, 763034, 763034]",no,negative,37,37,"['45.2', '45.2']","['anaerobe', 'anaerobe', 'anaerobe']",87578.0,324.0,1044.0,215.0,,,
0,Bacteroides,Bacteroides clarus,"[762984, 762984, 762984, 762984, 762984, 762984, 2293637, 2819234]",no,negative,37,37,"['45.3', '45.3']","['anaerobe', 'anaerobe']",24128.0,122.0,805.0,15.0,,,
0,Bacteroides,Bacteroides xylanisolvens,"[657309, 657309, 657309, 1812935]","['no', 'no']","['negative', 'negative', 'negative']",37,38,"['42.8', '42.8']","['anaerobe', 'anaerobe', 'obligate anaerobe', 'anaerobe']",219481.0,1755.0,4947.0,555.0,,,
0,Bacteroides,Bacteroides graminisolvens,"[1121097, 1121097, 1121097, 1121097, 1121097, 1121097, 2792795, 2699836]",no,negative,30,33,"['38.0', '38', '41.5', '38']","['anaerobe', 'anaerobe', 'anaerobe']",68859.0,2465.0,21442.0,705.0,,,
0,Bacteroides,Bacteroides cellulosilyticus,"[537012, 537012, 537012, 1213358]","['no', 'no']","['negative', 'negative']",37,37,"['41.1', '42.7', '41.1']","['anaerobe', 'anaerobe', 'obligate anaerobe']",49428.0,111.0,665.0,47.0,,,
0,Bacteroides,Bacteroides propionicifaciens,"[1121099, 1121099, 1121099, 1121099, 1121099, 1121099, 2364082, 2762507]",no,negative,30,30,"['46.2-47.5', '46.2-47.5', '38.0']",anaerobe,12248.0,269.0,288.0,138.0,,,
0,Bacteroides,Bacteroides propionicifaciens,,,,,,"['46.2-47.5', '38.0']",anaerobe,,,,,,,
0,Bacteroides,Bacteroides salyersiae,"[1121101, 1121101, 1121101, 1121101, 1121101, 1121101, 1121101, 1121101, 1121101, 293303, 904075, 212695]",,,37,,"['42.0', '42']","['anaerobe', 'anaerobe']",108342.0,568.0,3095.0,223.0,,,
0,Bacteroides,Bacteroides stercoris,"[449673, 449673, 449673, 449673, 449673, 46506, 46506, 449673, 449673, 449673, 46506, 449673, 1472416, 2293860, 2484252, 2093792, 2282154, 69224]",,,37,,"['46', '46', '46.3']",anaerobe,100698.0,1448.0,3744.0,326.0,,,
0,Bacteroides,Bacteroides caccae,"[47678, 411901, 47678, 47678, 47678, 818, 511145, 47678, 411901, 411901, 411901, 47678, 47678, 47678, 687388, 72026, 1945756, 2358460, 2026764, 1906665, 1325724]",,['negative'],37,,"['40', '41.9', '40']","['anaerobe', 'obligate anaerobe']",223547.0,1566.0,5702.0,469.0,,,
0,Bacteroides,Bacteroides gallinarum,"[1121096, 1121096, 1121096, 1121096, 1121096, 1121096, 505694, 2816244]",,,37,,"['46.7', '47']","['anaerobe', 'anaerobe']",4023.0,44.0,66.0,4.0,,,
0,Bacteroides,Bacteroides coprosuis,"[679937, 679937, 679937, 67260]",no,negative,37,37,"['36.4', '35.0', '36.4']","['anaerobe', 'anaerobe', 'anaerobe']",11064.0,733.0,1370.0,142.0,,,
0,Bacteroides,Bacteroides finegoldii,"[483215, 483215, 483215, 2562117]",no,negative,37,37,"['42.4-43', '42.4-43.0', '42']","['anaerobe', 'anaerobe', 'anaerobe']",,,,,,,
0,Bacteroides,Bacteroides intestinalis,"[471870, 471870, 471870, 2479839]",no,negative,37,37,"['44', '42.7', '44']","['anaerobe', 'anaerobe', 'anaerobe']",73416.0,511.0,1390.0,242.0,,,
0,Bacteroides,Bacteroides acidifaciens,"[1235814, 1235814, 1235814, 85831, 2548426, 2231182]",,,37,,"['39.4-42.2', '41.4']","['anaerobe', 'anaerobe']",171816.0,1207.0,1548.0,483.0,,,
0,Bacteroides,Bacteroides uniformis,,,,,,,anaerobe,,,,,,,
